Time (ns),Quercetin-FN1,pQ3RU-FN1,,,,
0.0000000,0.0005039,0.0004998,,,,
0.0020000,0.0510872,0.0569445,,,,
0.0040000,0.0580589,0.0550783,,,,
0.0060000,0.0570172,0.0710346,,,,
0.0080000,0.0605286,0.0765390,,,,
0.0100000,0.0658407,0.0746154,,,,
0.0120000,0.0717028,0.0769492,,,,
0.0140000,0.0742327,0.0881793,,,,
0.0160000,0.0806856,0.0890683,,,,
0.0180000,0.0782857,0.0888337,,,,
0.0200000,0.0904897,0.1031678,,,,
0.0220000,0.0930550,0.1112930,,,,
0.0240000,0.0916702,0.1139608,,,,
0.0260000,0.0910959,0.1108322,,,,
0.0280000,0.0905711,0.1169065,,,,
0.0300000,0.0845191,0.1155285,,,,
0.0320000,0.0861078,0.1151274,,,,
0.0340000,0.0909495,0.1223857,,,,
0.0360000,0.0808176,0.1316319,,,,
0.0380000,0.0802214,0.1354070,,,,
0.0400000,0.0878549,0.1378150,,,,
0.0420000,0.0881862,0.1420252,,,,
0.0440000,0.0980988,0.1408469,,,,
0.0460000,0.1000786,0.1345363,,,,
0.0480000,0.1005298,0.1249634,,,,
0.0500000,0.0950939,0.1241888,,,,
0.0520000,0.0988872,0.1185796,,,,
0.0540000,0.1056693,0.1259392,,,,
0.0560000,0.0937665,0.1345584,,,,
0.0580000,0.0932005,0.1293123,,,,
0.0600000,0.0956463,0.1351229,,,,
0.0620000,0.0975136,0.1361218,,,,
0.0640000,0.0949642,0.1542986,,,,
0.0660000,0.1052819,0.1468321,,,,
0.0680000,0.1039031,0.1657463,,,,
0.0700000,0.0980691,0.1593449,,,,
0.0720000,0.1022209,0.1492560,,,,
0.0740000,0.1011020,0.1512821,,,,
0.0760000,0.1154804,0.1652121,,,,
0.0780000,0.1280466,0.1703511,,,,
0.0800000,0.1390928,0.1565541,,,,
0.0820000,0.1411670,0.1665581,,,,
0.0840000,0.1424332,0.1521190,,,,
0.0860000,0.1498751,0.1500215,,,,
0.0880000,0.1549740,0.1350023,,,,
0.0900000,0.1558649,0.1543905,,,,
0.0920000,0.1671028,0.1417396,,,,
0.0940000,0.1669944,0.1447892,,,,
0.0960000,0.1706194,0.1469192,,,,
0.0980000,0.1744116,0.1480094,,,,
